,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Std,Bwd Packets/s,Avg Packet Size,Avg Bwd Segment Size,Subflow Bwd Packets,Label
418570,6.0,0.0,19161,9580.5,2,0.0,52.107758,13.75,6.0,1,0
60390,53.333332,92.376045,4932853,986570.6,195,31739.902,0.60816735,80.888885,53.333332,3,0
1291636,1.0,2.4494898,40200000,10100000.0,10100000,2373895.5,0.13334252,3.8181818,1.0,6,0
720960,117.0,0.0,0,0.0,0,0.0,16.296465,122.5,117.0,1,0
1189117,13.0,9.899495,482320,80386.664,15,0.0,4.1466246,1291.8889,13.0,2,0
935677,0.0,0.0,0,0.0,0,0.0,50000.0,0.0,0.0,1,0
1939543,0.0,0.0,45963,22981.5,8331,0.0,0.0,0.0,0.0,0,0
1151613,13.0,9.899495,694501,138900.2,47,0.0,2.8797655,1453.375,13.0,2,0
271974,0.0,0.0,3,3.0,3,0.0,0.0,0.0,0.0,0,0
1955639,6.0,0.0,75500000,8389991.0,48,4821.913,0.10594635,8.944445,6.0,8,0
1609465,6.0,0.0,5450,5450.0,5450,0.0,183.48624,186.66667,6.0,1,0
101320,0.0,0.0,14886496,14886496.0,14886496,0.0,0.0,9.0,0.0,0,0
1952172,80.0,0.0,3,3.0,3,0.0,64.64124,68.5,80.0,2,0
345519,0.0,0.0,0,0.0,0,0.0,11904.762,0.0,0.0,1,0
315859,179.0,0.0,3,3.0,3,0.0,9090.909,115.0,179.0,2,0
79042,63.0,0.0,0,0.0,0,0.0,21.008844,78.5,63.0,1,0
352205,79.0,0.0,3,3.0,3,0.0,14.91013,62.75,79.0,2,0
519495,990.6923,694.25336,559552,37303.465,3,62914.473,23.232872,479.68967,990.6923,13,0
794882,257.66666,492.28973,116000000,5541564.5,48,4905044.5,0.15467525,142.325,257.66666,18,0
711354,229.0,0.0,0,0.0,0,0.0,20.290972,157.5,229.0,1,0
1543583,615.8333,764.67365,5448058,681007.25,3,98510.37,1.1013099,271.26666,615.8333,6,0
1242179,569.75,1131.5035,982546,491273.0,29518,567087.1,3.9496303,387.42856,569.75,4,0
173593,1254.2916,979.90497,115266881,3033339.0,1,4288767.0,0.4164249,704.22986,1254.2916,48,0
850709,225.0,0.0,0,0.0,0,0.0,18.648714,157.5,225.0,1,0
1289953,67.0,0.0,0,0.0,0,0.0,41.79379,84.5,67.0,1,0
1291037,82.5,27.577164,35700000,35700000.0,35700000,0.0,0.055910513,75.25,82.5,2,0
1502080,74.0,0.0,0,0.0,0,0.0,42.729565,83.0,74.0,1,0
1946225,79.0,1.4142135,41600000,41600000.0,41600000,0.0,0.048012108,82.5,79.0,2,0
2029786,0.0,0.0,0,0.0,0,0.0,43478.26,0.0,0.0,1,0
1805083,0.0,0.0,2739,1369.5,999,0.0,0.0,12.333333,0.0,0,0
256306,0.0,0.0,90006819,45003410.0,45000478,3993.739,0.033313785,24.0,0.0,3,0
1832092,595.13043,1005.9351,116000000,5058978.0,3,5105205.5,0.19766839,327.6383,595.13043,23,0
192295,748.7143,696.2798,5649997,627777.44,3,55459.58,1.2389387,328.94116,748.7143,7,0
1605665,877.0,1036.8035,481411,80235.164,681,168600.98,8.308908,353.0909,877.0,4,0
148184,1054.0,721.7802,65673,10945.5,48,9496.058,106.58871,547.2143,1054.0,7,0
1683211,114.0,0.0,48,48.0,48,0.0,1988.0715,80.25,114.0,2,0
298140,909.6667,658.6051,5695846,711980.75,4,48033.94,1.0533993,389.46667,909.6667,6,0
405556,54.0,0.0,3,3.0,3,0.0,10.224583,55.5,54.0,2,0
981388,48.0,0.0,48,48.0,48,0.0,63.02587,48.0,48.0,2,0
918589,165.0,0.0,3,3.0,3,0.0,10810.811,107.25,165.0,2,0
327738,155.0,0.0,3,3.0,3,0.0,83.71353,109.0,155.0,2,0
440948,164.0,0.0,3,3.0,3,0.0,36.645473,106.0,164.0,2,0
1248776,48.0,0.0,68000000,68000000.0,68000000,0.0,0.029401464,60.0,48.0,2,0
