Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Std,Bwd Packets/s,Avg Packet Size,Avg Bwd Segment Size,Subflow Bwd Packets,Label
0,0,245,245,245,0,4081.6326,9.333333,0,1,1
0,0,5064184,2532092,844,0,0.19746518,0,0,1,6
12.533334,14.54975,5853610,731701.25,18,1241122,1.6870987,11.75,12.533334,15,1
1656.4286,1760.5973,98900000,19800000,1,40300000,0.07069732,921.7692,1656.4286,7,4
88.548386,223.315,10100000,503806.3,448,800564.2,2.5268328,91.40385,88.548386,31,1
85.78125,220.24059,11800000,591427.3,326,906703.94,2.2888825,89.679245,85.78125,32,1
601.8,798.3553,4712887,785481.2,50599,113453.83,1.0609208,278.83334,601.8,5,0
85.78125,220.24059,11000000,548155.56,206,846714.5,2.4505184,89.679245,85.78125,32,1
12.533334,14.54975,5487793,685974.1,3,1209448.4,1.7299216,12.291667,12.533334,15,1
0,0,244,244,244,0,4098.361,9.333333,0,1,1
85.78125,220.24059,11300000,565030.6,434,871155.94,2.3644176,89.679245,85.78125,32,1
42.333332,73.32349,6311,1577.75,3,2606.3955,475.36047,36.875,42.333332,3,5
94.5,38.890873,257073,257073,257073,0,6.9433355,93,94.5,2,0
6,0,992287,496143.5,492254,5907.17,3.0208437,3,6,3,1
12.533334,14.54975,6364747,795593.4,1,1219954.6,1.7324767,12.125,12.533334,15,1
85.78125,220.24059,9765289,488264.44,482,727667.44,2.8856723,89.679245,85.78125,32,1
12.533334,14.54975,6788116,848514.5,222,1341799.1,1.5752195,12.416667,12.533334,15,1
0,0,0,0,0,0,9803.922,0,0,1,1
6,0,998975,499487.5,498951,744.58344,3.0013866,3,6,3,1
2,0,683,683,683,0,1464.1288,4,2,1,5
12.533334,14.54975,6480084,810010.5,194,1349125.8,1.5586708,11.875,12.533334,15,1
1932.5,2695.6392,98900000,9892101,4,191296.75,0.060570795,744.5294,1932.5,6,4
0,0,3823929,1274643,1,0,0,7.5,0,0,3
